City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,tecoanapa,75,MX,1525823040,74,16.99,-99.26,82.4,11.41
273,faanui,24,PF,1525825735,100,-16.48,-151.75,81.92,15.9
274,hasaki,75,JP,1525822920,93,35.73,140.83,53.6,16.11
275,kieta,32,PG,1525825735,97,-6.22,155.63,82.28,6.06
276,puerto colombia,75,CO,1525824000,88,10.99,-74.96,78.8,3.36
277,tura,92,IN,1525825736,97,25.52,90.21,68.87,5.73
278,gillette,1,US,1525823580,45,44.29,-105.5,68.0,10.29
279,capao da canoa,48,BR,1525825737,97,-29.75,-50.01,73.64,24.07
280,show low,1,US,1525823700,5,34.25,-110.03,86.0,9.17
281,kurilsk,64,RU,1525825737,94,45.23,147.88,38.81,3.15
282,progreso,90,UY,1525824000,100,-34.68,-56.22,66.2,10.29
283,road town,90,VG,1525823580,78,18.42,-64.62,80.6,14.99
284,dumas,0,IN,1525825738,100,21.09,72.71,83.36,9.75
285,pisco,64,PE,1525824000,82,-13.71,-76.2,68.0,5.82
286,severo-yeniseyskiy,0,RU,1525825739,77,60.37,93.04,22.34,5.06
287,vila do maio,40,CV,1525824000,73,15.13,-23.22,69.8,20.8
288,redlands,40,US,1525823880,17,34.06,-117.19,93.2,9.17
289,reda,0,PL,1525824000,81,54.6,18.35,50.0,2.24
290,patacamaya,56,BO,1525825740,48,-17.23,-67.92,47.81,5.95
291,farah,36,AF,1525825741,38,32.37,62.11,63.56,2.59
292,fort nelson,40,CA,1525820400,30,58.81,-122.69,59.0,10.29
293,erenhot,12,CN,1525825741,44,43.65,111.97,65.09,17.92
294,havoysund,0,NO,1525823400,69,71.0,24.66,37.4,2.24
295,geraldton,90,CA,1525820400,29,49.72,-86.95,50.0,11.41
296,semirom,32,IR,1525825742,75,31.41,51.57,46.37,3.38
297,mahina,0,ML,1525825743,43,13.76,-10.85,82.19,5.73
298,lorengau,20,PG,1525825743,96,-2.02,147.27,85.07,6.51
299,trincomalee,8,LK,1525825743,94,8.58,81.23,76.43,7.85
300,avera,1,US,1525823700,53,33.19,-82.53,80.6,2.59
301,beringovskiy,92,RU,1525825744,99,63.05,179.32,31.61,21.16
302,omboue,92,GA,1525825744,100,-1.57,9.26,80.03,2.82
303,mali,92,CN,1525825744,99,27.53,102.2,51.86,1.59
304,nioro,0,GM,1525825745,30,13.79,-15.05,84.26,11.21
305,college,1,US,1525823880,19,64.86,-147.8,62.6,6.17
306,insch,0,GB,1525823400,81,57.34,-2.61,48.2,2.24
307,kangaatsiaq,56,GL,1525825746,100,68.31,-53.46,17.3,3.71
308,djibo,0,BF,1525825746,34,14.1,-1.63,78.68,7.18
309,rio grande,0,BR,1525825746,89,-32.03,-52.1,69.59,17.02
310,ketchikan,1,US,1525823760,52,55.34,-131.65,66.2,9.17
311,cabo san lucas,5,MX,1525823160,22,22.89,-109.91,87.8,17.22
312,bathsheba,75,BB,1525824000,78,13.22,-59.52,78.8,20.8
313,san luis,92,AR,1525825748,100,-33.3,-66.34,58.79,7.63
314,pevek,20,RU,1525825749,93,69.7,170.27,28.19,14.0
315,zaysan,0,KZ,1525825750,70,47.47,84.87,28.91,2.37
316,dingle,24,PH,1525825750,98,11.0,122.67,80.03,4.38
317,akdepe,0,TM,1525820400,23,42.05,59.39,62.6,13.87
318,cockburn town,24,TC,1525825751,100,21.46,-71.14,78.59,16.69
319,lata,0,IN,1525825751,97,30.78,78.62,41.42,2.93
320,kupang,0,ID,1525825751,87,-10.16,123.6,82.64,12.66
321,lavrentiya,76,RU,1525825751,92,65.58,-170.99,32.33,16.24
322,boende,64,CD,1525825752,95,-0.28,20.88,75.17,1.92
